kind,on_table,name,definition
CONSTRAINT,condition_alarms,condition_alarms_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE
CONSTRAINT,condition_alarms,condition_alarms_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,condition_alarms,condition_alarms_pkey,PRIMARY KEY (id)
CONSTRAINT,condition_alarms,condition_alarms_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,condition_alarms,condition_alarms_recording_id_fkey,FOREIGN KEY (recording_id) REFERENCES condition_recordings(id) ON DELETE CASCADE
CONSTRAINT,condition_alarms,condition_alarms_severity_check,"CHECK ((severity = ANY (ARRAY['info'::text, 'warning'::text, 'alarm'::text, 'critical'::text])))"
CONSTRAINT,condition_entity_links,condition_entity_links_linked_by_fkey,FOREIGN KEY (linked_by) REFERENCES auth.users(id)
CONSTRAINT,condition_entity_links,condition_entity_links_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,condition_entity_links,condition_entity_links_pkey,PRIMARY KEY (id)
CONSTRAINT,condition_entity_links,condition_entity_links_recording_id_entity_type_entity_id_r_key,"UNIQUE (recording_id, entity_type, entity_id, relation)"
CONSTRAINT,condition_entity_links,condition_entity_links_recording_id_fkey,FOREIGN KEY (recording_id) REFERENCES condition_recordings(id) ON DELETE CASCADE
CONSTRAINT,condition_recordings,condition_recordings_approved_by_fkey,FOREIGN KEY (approved_by) REFERENCES auth.users(id)
CONSTRAINT,condition_recordings,condition_recordings_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE SET NULL
CONSTRAINT,condition_recordings,condition_recordings_baseline_id_fkey,FOREIGN KEY (baseline_id) REFERENCES condition_recordings(id) ON DELETE SET NULL
CONSTRAINT,condition_recordings,condition_recordings_calibration_status_check,"CHECK ((calibration_status = ANY (ARRAY['uncalibrated'::text, 'relative'::text, 'calibrated'::text])))"
CONSTRAINT,condition_recordings,condition_recordings_condition_status_check,"CHECK ((condition_status = ANY (ARRAY['normal'::text, 'changed'::text, 'warning'::text, 'alarm'::text, 'unverified'::text])))"
