schema_line
TABLE: condition_alarms.limit_value | numeric | nullable=YES | default=none
TABLE: condition_alarms.acknowledged_by | uuid | nullable=YES | default=none
TABLE: condition_alarms.acknowledged_at | timestamp with time zone | nullable=YES | default=none
TABLE: condition_alarms.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: condition_entity_links.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: condition_entity_links.organization_id | uuid | nullable=NO | default=none
TABLE: condition_entity_links.recording_id | uuid | nullable=NO | default=none
TABLE: condition_entity_links.entity_type | text | nullable=NO | default=none
TABLE: condition_entity_links.entity_id | text | nullable=NO | default=none
TABLE: condition_entity_links.relation | text | nullable=NO | default='evidence'::text
TABLE: condition_entity_links.linked_by | uuid | nullable=NO | default=none
TABLE: condition_entity_links.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: condition_recordings.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: condition_recordings.organization_id | uuid | nullable=NO | default=none
TABLE: condition_recordings.plant_id | uuid | nullable=NO | default=none
TABLE: condition_recordings.asset_id | uuid | nullable=YES | default=none
TABLE: condition_recordings.measurement_point_id | uuid | nullable=YES | default=none
TABLE: condition_recordings.recording_type | text | nullable=NO | default=none
TABLE: condition_recordings.title | text | nullable=NO | default=none
TABLE: condition_recordings.operating_condition | text | nullable=YES | default=none
TABLE: condition_recordings.rpm | numeric | nullable=YES | default=none
TABLE: condition_recordings.load_percent | numeric | nullable=YES | default=none
TABLE: condition_recordings.temperature | numeric | nullable=YES | default=none
TABLE: condition_recordings.duration_seconds | numeric | nullable=YES | default=none
TABLE: condition_recordings.sample_rate | numeric | nullable=YES | default=none
TABLE: condition_recordings.device_info | jsonb | nullable=NO | default='{}'::jsonb
TABLE: condition_recordings.calibration_status | text | nullable=NO | default='uncalibrated'::text
TABLE: condition_recordings.audio_path | text | nullable=YES | default=none
TABLE: condition_recordings.audio_mime_type | text | nullable=YES | default=none
TABLE: condition_recordings.audio_size_bytes | bigint | nullable=YES | default=none
TABLE: condition_recordings.waveform | jsonb | nullable=NO | default='[]'::jsonb
TABLE: condition_recordings.spectrum | jsonb | nullable=NO | default='[]'::jsonb
TABLE: condition_recordings.vibration_samples | jsonb | nullable=NO | default='[]'::jsonb
TABLE: condition_recordings.metrics | jsonb | nullable=NO | default='{}'::jsonb
TABLE: condition_recordings.ai_analysis | jsonb | nullable=NO | default='{}'::jsonb
TABLE: condition_recordings.manual_sources | jsonb | nullable=NO | default='[]'::jsonb
TABLE: condition_recordings.baseline_id | uuid | nullable=YES | default=none
