schema_line
TABLE: suppliers.rating | numeric | nullable=YES | default=none
TABLE: suppliers.notes | text | nullable=YES | default=none
TABLE: suppliers.active | boolean | nullable=NO | default=true
TABLE: suppliers.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: suppliers.created_by | uuid | nullable=YES | default=none
TABLE: suppliers.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: suppliers.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: support_messages.id | uuid | nullable=NO | default=none
TABLE: support_messages.thread_id | uuid | nullable=NO | default=none
TABLE: support_messages.user_id | uuid | nullable=NO | default=none
TABLE: support_messages.message | text | nullable=NO | default=none
TABLE: support_messages.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: support_threads.id | uuid | nullable=NO | default=none
TABLE: support_threads.organization_id | uuid | nullable=NO | default=none
TABLE: support_threads.plant_id | uuid | nullable=NO | default=none
TABLE: support_threads.asset_id | uuid | nullable=YES | default=none
TABLE: support_threads.subject | text | nullable=NO | default=none
TABLE: support_threads.priority | text | nullable=YES | default='medium'::text
TABLE: support_threads.status | text | nullable=YES | default='open'::text
TABLE: support_threads.created_by | uuid | nullable=NO | default=none
TABLE: support_threads.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: support_threads.updated_at | timestamp with time zone | nullable=YES | default=now()
TABLE: system_incidents.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: system_incidents.organization_id | uuid | nullable=YES | default=none
TABLE: system_incidents.severity | text | nullable=NO | default=none
TABLE: system_incidents.component | text | nullable=NO | default=none
TABLE: system_incidents.event_type | text | nullable=NO | default=none
TABLE: system_incidents.message | text | nullable=NO | default=none
TABLE: system_incidents.correlation_id | text | nullable=YES | default=none
TABLE: system_incidents.details | jsonb | nullable=NO | default='{}'::jsonb
TABLE: system_incidents.status | text | nullable=NO | default='open'::text
TABLE: system_incidents.first_seen_at | timestamp with time zone | nullable=NO | default=now()
TABLE: system_incidents.last_seen_at | timestamp with time zone | nullable=NO | default=now()
TABLE: system_incidents.resolved_at | timestamp with time zone | nullable=YES | default=none
TABLE: technical_experiences.id | uuid | nullable=NO | default=none
TABLE: technical_experiences.organization_id | uuid | nullable=NO | default=none
TABLE: technical_experiences.plant_id | uuid | nullable=NO | default=none
TABLE: technical_experiences.asset_id | uuid | nullable=YES | default=none
TABLE: technical_experiences.problem | text | nullable=NO | default=none
TABLE: technical_experiences.symptoms | text | nullable=YES | default=none
TABLE: technical_experiences.tests | text | nullable=YES | default=none
TABLE: technical_experiences.root_cause | text | nullable=NO | default=none
TABLE: technical_experiences.solution | text | nullable=NO | default=none
TABLE: technical_experiences.tools | text | nullable=YES | default=none
TABLE: technical_experiences.parts | text | nullable=YES | default=none
TABLE: technical_experiences.downtime | text | nullable=YES | default=none
TABLE: technical_experiences.approved | boolean | nullable=YES | default=false
TABLE: technical_experiences.created_by | uuid | nullable=YES | default=none
TABLE: technical_experiences.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: tool_transactions.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: tool_transactions.organization_id | uuid | nullable=NO | default=none
TABLE: tool_transactions.plant_id | uuid | nullable=NO | default=none
TABLE: tool_transactions.tool_id | uuid | nullable=NO | default=none
TABLE: tool_transactions.transaction_type | text | nullable=NO | default=none
TABLE: tool_transactions.holder_id | uuid | nullable=YES | default=none
TABLE: tool_transactions.condition | text | nullable=YES | default=none
TABLE: tool_transactions.notes | text | nullable=YES | default=none
TABLE: tool_transactions.performed_by | uuid | nullable=NO | default=none
TABLE: tool_transactions.worker_name | text | nullable=NO | default=none
TABLE: tool_transactions.designation | text | nullable=YES | default=none
TABLE: tool_transactions.shift_name | text | nullable=YES | default=none
TABLE: tool_transactions.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: tools.id | uuid | nullable=NO | default=none
TABLE: tools.organization_id | uuid | nullable=NO | default=none
TABLE: tools.plant_id | uuid | nullable=NO | default=none
TABLE: tools.tool_code | text | nullable=YES | default=none
TABLE: tools.name | text | nullable=NO | default=none
TABLE: tools.specification | text | nullable=YES | default=none
TABLE: tools.condition | text | nullable=YES | default=none
TABLE: tools.calibration_due | date | nullable=YES | default=none
TABLE: tools.status | text | nullable=YES | default='available'::text
TABLE: tools.holder_id | uuid | nullable=YES | default=none
TABLE: tools.updated_at | timestamp with time zone | nullable=YES | default=now()
TABLE: tools.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: tools.removed_by | uuid | nullable=YES | default=none
TABLE: tools.row_version | bigint | nullable=NO | default=1
TABLE: usage_adjustments.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: usage_adjustments.organization_id | uuid | nullable=NO | default=none
TABLE: usage_adjustments.metric | text | nullable=NO | default=none
TABLE: usage_adjustments.period_start | date | nullable=NO | default=none
TABLE: usage_adjustments.quantity | bigint | nullable=NO | default=none
TABLE: usage_adjustments.reason | text | nullable=NO | default=none
TABLE: usage_adjustments.created_by | uuid | nullable=NO | default=none
TABLE: usage_adjustments.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: usage_counters.organization_id | uuid | nullable=NO | default=none
TABLE: usage_counters.metric | text | nullable=NO | default=none
TABLE: usage_counters.period_start | date | nullable=NO | default=none
TABLE: usage_counters.period_end | date | nullable=NO | default=none
TABLE: usage_counters.quantity | bigint | nullable=NO | default=0
TABLE: usage_counters.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: usage_events.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: usage_events.organization_id | uuid | nullable=NO | default=none
TABLE: usage_events.user_id | uuid | nullable=YES | default=none
TABLE: usage_events.metric | text | nullable=NO | default=none
TABLE: usage_events.quantity | bigint | nullable=NO | default=1
TABLE: usage_events.source | text | nullable=YES | default=none
TABLE: usage_events.reference_id | text | nullable=YES | default=none
TABLE: usage_events.status | text | nullable=NO | default='recorded'::text
TABLE: usage_events.metadata | jsonb | nullable=NO | default='{}'::jsonb
TABLE: usage_events.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: work_orders.id | uuid | nullable=NO | default=none
TABLE: work_orders.organization_id | uuid | nullable=NO | default=none
TABLE: work_orders.plant_id | uuid | nullable=NO | default=none
TABLE: work_orders.asset_id | uuid | nullable=YES | default=none
TABLE: work_orders.title | text | nullable=NO | default=none
TABLE: work_orders.description | text | nullable=NO | default=none
TABLE: work_orders.priority | text | nullable=NO | default='medium'::text
TABLE: work_orders.status | text | nullable=NO | default='open'::text
TABLE: work_orders.assigned_to | uuid | nullable=YES | default=none
TABLE: work_orders.due_at | timestamp with time zone | nullable=YES | default=none
TABLE: work_orders.created_by | uuid | nullable=NO | default=none
TABLE: work_orders.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: work_orders.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: work_orders.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: work_orders.removed_by | uuid | nullable=YES | default=none
TABLE: work_orders.work_done | text | nullable=YES | default=none
TABLE: work_orders.designation | text | nullable=YES | default=none
TABLE: work_orders.shift_name | text | nullable=YES | default=none
TABLE: work_orders.tools_used | text | nullable=YES | default=none
TABLE: work_orders.parts_used | text | nullable=YES | default=none
TABLE: work_orders.measurements | jsonb | nullable=NO | default='{}'::jsonb
TABLE: work_orders.root_cause | text | nullable=YES | default=none
TABLE: work_orders.corrective_action | text | nullable=YES | default=none
TABLE: work_orders.downtime_minutes | integer | nullable=YES | default=none
TABLE: work_orders.completed_by | uuid | nullable=YES | default=none
TABLE: work_orders.completed_at | timestamp with time zone | nullable=YES | default=none
TABLE: work_orders.supervisor_approved_by | uuid | nullable=YES | default=none
TABLE: work_orders.supervisor_approved_at | timestamp with time zone | nullable=YES | default=none
TABLE: work_orders.signature_data | text | nullable=YES | default=none
TABLE: work_orders.row_version | bigint | nullable=NO | default=1
TABLE: work_orders.started_at | timestamp with time zone | nullable=YES | default=none
TABLE: work_orders.labor_minutes | integer | nullable=YES | default=0
TABLE: work_orders.total_cost | numeric | nullable=YES | default=0.00
